time	I(Iprim)
0.0	5.913843680293245
2.000000165480742e-11	5.911766735477589
2.0000098799322075e-11	5.911766735649431
2.19999990447306e-11	5.911559048996883
2.200010312813916e-11	5.911559048725845
2.000000026702864e-10	5.893080406148692
3.999999984016789e-10	5.872330863306614
6.000000010719653e-10	5.8515950732770685
7.758575032434933e-10	5.83337373723676
7.758575032434933e-10	5.833373737749716
8.000000037422517e-10	5.454347696730443
8.044439003818127e-10	5.384591368790181
8.044439003818127e-10	5.3845913480553484
8.053488986803359e-10	5.3798616431180255
8.053488986803359e-10	5.379861640069247
8.053488986803359e-10	5.379861640069247
9.999999994736442e-10	5.196383135336147
1.2000000021439305e-09	5.008220010831689
1.399999997875323e-09	4.820418709201702
1.6000000005456094e-09	4.632979016843062
1.8000000032158958e-09	4.445900715753741
1.9999999989472883e-09	4.259183583627953
2.2000000016175747e-09	4.0728273939493675
2.399999997348967e-09	3.8868319160824174
2.6000000000192536e-09	3.7011969153617903
2.80000000268954e-09	3.515922153180069
2.9999999984209325e-09	3.3310073870736168
3.200000001091219e-09	3.1464523708067214
3.4000000037615052e-09	2.9622568544540178
3.5999999994928977e-09	2.7784205844812595
3.800000002163184e-09	2.59494330382444
3.999999997894577e-09	2.411824751967315
4.200000000564863e-09	2.229064665017352
4.400000003235149e-09	2.0466627757801414
4.599999998966542e-09	1.8646188138323008
4.800000001636828e-09	1.682932505592896
4.999999997368221e-09	1.501603574393422
5.200000000038507e-09	1.320631740546362
5.4000000027087935e-09	1.1400167214123544
5.599999998440186e-09	0.959758231466004
5.8000000011104724e-09	0.7798559823603568
6.000000003780759e-09	0.600309682990067
6.199999999512151e-09	0.4211190395532864
6.400000002182438e-09	0.2422837556122988
6.59999999791383e-09	0.0638035321529255
6.671590398188432e-09	2.4156256085532124e-06
6.8000000005841166e-09	2.15086800729848e-06
7.000000003254403e-09	2.1508686841795027e-06
7.1999999989857955e-09	2.1508692720877598e-06
7.400000001656082e-09	2.1508697728217105e-06
7.599999997387474e-09	2.150870188143214e-06
7.80000000005776e-09	2.150870519778273e-06
8.000000002728047e-09	2.1508707694177628e-06
8.19999999845944e-09	2.150870938718147e-06
8.400000001129726e-09	2.1508710293021784e-06
8.600000003800012e-09	2.150871042759583e-06
8.799999999531405e-09	2.1508709806477327e-06
9.000000002201691e-09	2.150870844492308e-06
9.199999997933084e-09	2.150870635787936e-06
9.40000000060337e-09	2.1508703559988265e-06
9.600000003273657e-09	2.1508700065593927e-06
9.799999999005049e-09	2.1508695888748536e-06
1.0000000001675335e-08	2.150869104321831e-06
1.0199999997406728e-08	2.1508685542489274e-06
1.0400000000077014e-08	2.1508679399773014e-06
1.06000000027473e-08	2.1508672628012246e-06
1.0799999998478693e-08	2.150866523988627e-06
1.100000000114898e-08	2.150865724781634e-06
1.1200000003819266e-08	2.1508648663970952e-06
1.1399999999550658e-08	2.1508639500270897e-06
1.1600000002220945e-08	2.1508629768394414e-06
1.1799999997952337e-08	2.150861947978204e-06
1.2000000000622624e-08	2.1508608645641497e-06
1.220000000329291e-08	2.150859727695241e-06
1.2399999999024303e-08	2.1508585384470934e-06
1.2600000001694589e-08	2.1508572978734354e-06
1.2799999997425981e-08	2.1508560070065478e-06
1.3000000000096268e-08	2.1508546668577023e-06
1.3200000002766554e-08	2.150853278417594e-06
1.323958800231173e-08	2.150852997949536e-06
1.3243195401413388e-08	2.1508529722999993e-06
1.3245195398803311e-08	2.1508529580730687e-06
1.3245195398803311e-08	2.15085295807305e-06
1.3399999998497947e-08	2.1508518426567635e-06
1.3600000001168233e-08	2.1508503605259668e-06
1.3661548302346116e-08	2.1508498952267817e-06
1.366154839949063e-08	2.1508498952267737e-06
1.380000000383852e-08	-0.0448642147270818
1.3999999999569912e-08	-0.109625924985108
1.4200000002240198e-08	-0.1743286219734371
1.4399999997971591e-08	-0.2389722236971631
1.4600000000641877e-08	-0.3035566489717977
1.4800000003312164e-08	-0.3680818174097929
1.4999999999043556e-08	-0.4325476494073371
1.5200000001713843e-08	-0.4969540661314159
1.5399999997445235e-08	-0.5613009895071358
1.560000000011552e-08	-0.6255883422053024
1.5800000002785808e-08	-0.689816047630251
1.59999999985172e-08	-0.7539840299079215
1.6200000001187487e-08	-0.8180922138741737
1.6400000003857773e-08	-0.8821405250633401
1.6599999999589166e-08	-0.946128889697008
1.6800000002259452e-08	-1.0100572346730297
1.6999999997990844e-08	-1.0739254875547508
1.720000000066113e-08	-1.1377335765604613
1.7400000003331417e-08	-1.201481430553053
1.759999999906281e-08	-1.2651689790298903
1.7800000001733096e-08	-1.3287961521128844
1.799999999746449e-08	-1.3923628805387642
1.8200000000134775e-08	-1.4558690956495468
1.840000000280506e-08	-1.5193147293832
1.8599999998536454e-08	-1.58269971426449
1.880000000120674e-08	-1.646023983396016
1.9000000003877027e-08	-1.7092874704494236
1.919999999960842e-08	-1.772490109656797
1.9400000002278706e-08	-1.8356318358022232
1.9599999998010098e-08	-1.8987125842135253
1.9800000000680384e-08	-1.961732290754164
2.0000000100495186e-08	-2.0246908918152986
2.0199999999082063e-08	-2.0875883243080136
2.040000000175235e-08	-2.150424525655697
2.0599999997483742e-08	-2.2131994337865684
2.080000000015403e-08	-2.275912987126368
2.1000000002824315e-08	-2.3385651245911823
2.1199999998555707e-08	-2.401155785580418
2.1400000001225994e-08	-2.463684909969919
2.160000000389628e-08	-2.526152438105216
2.1799999999627673e-08	-2.588558310794918
2.200000000229796e-08	-2.6509024693042305
2.219999999802935e-08	-2.7131848553486075
2.2400000000699638e-08	-2.775405411087532
2.260000010051444e-08	-2.8375640791184167
2.2799999999101317e-08	-2.899660802470629
2.3000000001771603e-08	-2.9616955245996386
2.3199999997502996e-08	-3.0236681893812767
2.3400000000173282e-08	-3.0855787411061155
2.360000000284357e-08	-3.1474271244739556
2.379999999857496e-08	-3.209213284588428
